type,size,time,comparisons,exchanges
shell,4,9768,7,2,
shell,4,7043,8,3,
shell,4,5911,6,1,
shell,4,5761,7,2,
shell,4,9457,9,4,
shell,4,9287,7,2,
shell,4,7254,7,2,
shell,4,4728,7,2,
shell,4,4649,7,2,
shell,4,4499,6,1,


shell,8,12022,26,9,
shell,8,13986,26,9,
shell,8,11271,27,10,
shell,8,11451,28,11,
shell,8,17242,27,10,
shell,8,14948,27,10,
shell,8,10640,22,5,
shell,8,13144,26,9,
shell,8,16331,30,13,
shell,8,13615,30,13,


shell,16,26690,73,24,
shell,16,28884,71,22,
shell,16,35907,77,28,
shell,16,27281,84,35,
shell,16,30627,98,49,
shell,16,26169,76,27,
shell,16,28703,67,18,
shell,16,30287,88,39,
shell,16,25327,90,41,
shell,16,27742,71,22,


shell,32,103022,189,60,
shell,32,59661,239,110,
shell,32,61856,220,91,
shell,32,87783,217,88,
shell,32,58970,208,79,
shell,32,78647,211,82,
shell,32,75270,249,120,
shell,32,45985,209,80,
shell,32,41848,174,45,
shell,32,47859,224,95,


shell,64,127849,549,228,
shell,64,206916,574,253,
shell,64,160769,601,280,
shell,64,166561,593,272,
shell,64,120735,503,182,
shell,64,118511,599,278,
shell,64,121968,589,268,
shell,64,110265,550,229,
shell,64,197378,526,205,
shell,64,181889,504,183,


shell,128,583848,1400,631,
shell,128,514269,1629,860,
shell,128,393433,1362,593,
shell,128,415044,1415,646,
shell,128,436864,1350,581,
shell,128,406608,1464,695,
shell,128,324795,1461,692,
shell,128,347148,1434,665,
shell,128,333722,1683,914,
shell,128,329985,1637,868,


shell,256,922610,3703,1910,
shell,256,327851,3730,1937,
shell,256,308656,3581,1788,
shell,256,282126,3124,1331,
shell,256,305018,3607,1814,
shell,256,304698,3309,1516,
shell,256,298687,3404,1611,
shell,256,280904,3244,1451,
shell,256,309077,3459,1666,
shell,256,291874,3429,1636,


shell,512,1012728,8434,4337,
shell,512,743506,9749,5652,
shell,512,713099,8432,4335,
shell,512,642006,9343,5246,
shell,512,591542,10412,6315,
shell,512,650793,8038,3941,
shell,512,228165,8406,4309,
shell,512,225480,9298,5201,
shell,512,226593,9012,4915,
shell,512,234167,8966,4869,


shell,1024,523877,25278,16061,
shell,1024,512866,24478,15261,
shell,1024,496306,23085,13868,
shell,1024,520771,24884,15667,
shell,1024,515230,24169,14952,
shell,1024,601161,24743,15526,
shell,1024,578388,23925,14708,
shell,1024,655381,24871,15654,
shell,1024,664388,23371,14154,
shell,1024,649201,21199,11982,

type,size,time,comparisons,exchanges
shell,4,9618,8,3,
shell,4,5611,6,1,
shell,4,5891,8,3,
shell,4,6052,9,4,
shell,4,7765,6,1,
shell,4,4909,8,3,
shell,4,6211,7,2,
shell,4,6703,6,1,
shell,4,7915,7,2,
shell,4,7494,7,2,


shell,8,17002,19,2,
shell,8,11672,22,5,
shell,8,12613,21,4,
shell,8,12524,20,3,
shell,8,11391,26,9,
shell,8,16471,27,10,
shell,8,20959,25,8,
shell,8,19366,25,8,
shell,8,16961,24,7,
shell,8,17924,27,10,


shell,16,37190,80,31,
shell,16,40014,87,38,
shell,16,40265,76,27,
shell,16,32130,66,17,
shell,16,36769,72,23,
shell,16,41377,88,39,
shell,16,25608,75,26,
shell,16,25758,73,24,
shell,16,21460,79,30,
shell,16,27822,79,30,


shell,32,60783,207,78,
shell,32,46828,186,57,
shell,32,54051,202,73,
shell,32,74849,197,68,
shell,32,52979,208,79,
shell,32,61145,226,97,
shell,32,55624,213,84,
shell,32,52218,219,90,
shell,32,50986,209,80,
shell,32,54011,230,101,


shell,64,99326,614,293,
shell,64,111258,581,260,
shell,64,129582,589,268,
shell,64,110646,549,228,
shell,64,86211,559,238,
shell,64,78717,506,185,
shell,64,78867,572,251,
shell,64,82585,569,248,
shell,64,79258,537,216,
shell,64,77806,525,204,


shell,128,212247,1428,659,
shell,128,231593,1393,624,
shell,128,232064,1763,994,
shell,128,224730,1706,937,
shell,128,238225,1311,542,
shell,128,204392,1293,524,
shell,128,241852,1541,772,
shell,128,265196,1357,588,
shell,128,292617,1527,758,
shell,128,228387,1380,611,


shell,256,692354,3693,1900,
shell,256,382886,3529,1736,
shell,256,415617,3522,1729,
shell,256,417500,3449,1656,
shell,256,398916,3344,1551,
shell,256,428010,3447,1654,
shell,256,381974,3600,1807,
shell,256,391612,3505,1712,
shell,256,421438,3465,1672,
shell,256,450922,3681,1888,


shell,512,1348881,9788,5691,
shell,512,889393,10708,6611,
shell,512,399757,10860,6763,
shell,512,246000,8539,4442,
shell,512,331920,9772,5675,
shell,512,361987,10578,6481,
shell,512,309368,8441,4344,
shell,512,336789,8641,4544,
shell,512,311041,8994,4897,
shell,512,315510,9367,5270,


shell,1024,722100,22953,13736,
shell,1024,751555,25368,16151,
shell,1024,656388,21285,12068,
shell,1024,749081,22675,13458,
shell,1024,720818,21954,12737,
shell,1024,747798,24452,15235,
shell,1024,675713,29051,19834,
shell,1024,721569,32192,22975,
shell,1024,645356,25455,16238,
shell,1024,610581,22444,13227,

